Activation Function,Fold,MSE,RMSE,MAE,MAPE (%),MASE
tanh,1,0.3085,0.5554,0.5553,46.95,339.44
tanh,2,0.0070,0.0835,0.0835,6.94,53.51
tanh,3,0.0073,0.0856,0.0856,7.37,58.48
tanh,4,0.0062,0.0789,0.0787,7.20,57.20
tanh,5,0.0054,0.0737,0.0736,7.25,50.05
relu,1,0.7721,0.8787,0.8785,74.28,537.04
relu,2,0.3041,0.5514,0.5514,45.82,353.34
relu,3,0.0113,0.1064,0.1064,9.18,72.72
relu,4,0.0133,0.1152,0.1152,10.56,83.73
relu,5,0.0121,0.1102,0.1101,10.88,74.95
sigmoid,1,0.1338,0.3658,0.3653,30.87,223.30
sigmoid,2,0.0329,0.1813,0.1810,15.03,115.97
sigmoid,3,0.0090,0.0951,0.0931,8.00,63.61
sigmoid,4,0.0041,0.0637,0.0565,5.09,41.04
sigmoid,5,0.0007,0.0265,0.0209,2.02,14.19
