Activation Function,Metric,FLF-MSE,MLF-MSE,Improvement (%)
tanh,Open,0.0254632908115424,0.0006712680688046,97.3822858
tanh,High,0.0138844073875183,0.0006011008686885,95.2456681
tanh,Low,0.0084011174980000,0.0006695304124237,92.0370946
tanh,Close,0.0054532043988357,0.0007061861516057,87.9097799
relu,Open,0.4335226778872970,0.0012040640739934,99.7238747
relu,High,0.4466515673004970,0.0018808679148498,99.7244192
relu,Low,0.5144936438617930,0.0011649940364653,99.7693851
relu,Close,0.3981646942095770,0.0011335276292681,99.7206945
sigmoid,Open,0.0124430751755757,0.0133565910150268,-4.8191764
sigmoid,High,0.0206705926411090,0.0135305910105266,34.5176442
sigmoid,Low,0.0207645966248300,0.0124128920053659,39.7815178
sigmoid,Close,0.0207434696624830,0.0147163126497873,29.0556841
