Activation Function,Metric,FLF-MASE,MLF-MASE,Improvement (%)
tanh,Open,123.1968566,3.178141811,97.4202736
tanh,High,102.8357820,2.468329850,97.5997364
tanh,Low,76.35409878,3.348991360,95.6138683
tanh,Close,53.77647794,3.031734779,94.3623404
relu,Open,512.7073334,16.17162431,96.8458371
relu,High,596.5987082,17.71225767,97.0311270
relu,Low,623.3512884,17.34717506,97.2171109
relu,Close,489.8907050,14.82174808,96.9744786
sigmoid,Open,80.61110443,70.73401803,12.2527615
sigmoid,High,121.3014930,77.66988804,35.9695531
sigmoid,Low,118.0149705,74.67601864,36.7232663
sigmoid,Close,105.6558726,75.37616821,28.6587992
